model_number,brand,appliance_type
WRS321SDHZ01,Whirlpool,refrigerator
WRT311FZDW00,Whirlpool,refrigerator
ED5KVEXVQ00,Whirlpool,refrigerator
WRS325FDAW04,Whirlpool,refrigerator
ED5VHEXVB01,Whirlpool,refrigerator
WRB322DMBM00,Whirlpool,refrigerator
ED5FVGXWS07,Whirlpool,refrigerator
WRS325SDHZ01,Whirlpool,refrigerator
WRT518SZFM00,Whirlpool,refrigerator
ED5KVEXVB00,Whirlpool,refrigerator
WRS571CIDM01,Whirlpool,refrigerator
ED2KVEXVQ01,Whirlpool,refrigerator
WRF736SDAM14,Whirlpool,refrigerator
WRS322FDAM04,Whirlpool,refrigerator
WRS588FIHZ00,Whirlpool,refrigerator
WRS571CIHZ01,Whirlpool,refrigerator
WRF535SMBM00,Whirlpool,refrigerator
WRX735SDBM00,Whirlpool,refrigerator
WRS325FDAM02,Whirlpool,refrigerator
WRS325FDAM04,Whirlpool,refrigerator
